id,question,bucket,first_rank,top1
,데이터 분석 쪽으로 가고싶어,C,1,594:0
,백엔드 개발 쪽 가고 싶어,C,1,582:0
,IT 쪽 취업하고 싶어,C,3,581:0
,데이터베이스나 개발 쪽 하고 싶어,C,3,582:0
,시스템 운영 쪽으로 가고 싶어,C,3,72:0
,빅데이터 분석가 되고 싶어,C,2,594:0
,전산 쪽 일 하고 싶어,C,3,594:0
,정보처리 관련 일 하고 싶어,C,3,530:0
,품질관리로 가고 싶어,C,2,113:0
,통번역 관련 일 하고 싶어,B,6,666:0
,호텔 경영 쪽으로 가고 싶어,C,1,999:0
,간호사 되고 싶어,C,1,1373:0
,보건 쪽으로 가고 싶어,C,2,904:0
,회계 쪽으로 가고 싶어,C,2,736:0
,금융 쪽 취업하고 싶어,A,,661:0
,세무 쪽 하고 싶어,B,6,622:0
,"조리,영양 쪽 일 하고 싶어",C,3,939:0
,양식조리 쪽으로 가고 싶어,C,1,407:0
,사회복지사 되고 싶어,C,1,912:0
,사회복지 쪽으로 가고 싶어,C,1,912:0
,"건축,토목 쪽으로 가고 싶어",C,2,86:0
,건축 쪽 취업하고 싶어,C,1,1007:0
,"기계,자동화 쪽 일 하고 싶어",C,3,238:0
,메카트로닉스 쪽으로 가고 싶어,C,1,1236:0
,요양보호사 되고 싶어,C,1,941:0
,영양사 되고 싶어,C,1,939:0
,인공지능 쪽으로 취업하고 싶어,C,3,581:0
,인공지능 관련 일 하고 싶어,C,3,594:0
,인공지능 데이터 분석 쪽으로 가고 싶어,C,2,594:0
,3D 조형 관련 일 하고 싶어,C,1,160:0
,사무 및 경영 쪽으로 일하고 싶어,B,8,824:0
,게임 쪽으로 취업하고 싶어,C,1,675:0
,전공관련직무,A,,393:0
,데이터 분석 직무,C,2,325:0
,백엔드 개발 직무,A,,270:0
,의료 직무,C,2,643:0
,사무 경영 직무,A,,823:0
,데이터 분석 쪽으로 가고싶어. 전공관련직무만,C,2,594:0
,IT 쪽 취업 준비하고 있어. 전공포함,C,2,658:0
,통번역 관련 일 하고 싶어. 전공관련직무 위주,C,5,794:0
,수출입 무역이나 상사 쪽으로 취업하고 싶어,C,1,607:0
,물류센터 운영이나 SCM 직무로 가고 싶어,C,1,896:0
,스마트팜이나 농산물 유통 쪽 일하고 싶어,B,7,1061:0
,패션 MD나 의류 기획 쪽으로 가고 싶어,C,1,99:0
,신재생에너지나 환경 안전 관리자로 가고 싶어,C,3,414:0
,항공 정비사나 항공기 관련 일 하고 싶어,C,2,1085:0
,방송 연출이나 영상 편집 쪽 일하고 싶어,C,2,1190:0
,화장품 연구개발이나 품질관리 쪽으로 가고 싶어,C,1,883:0
,전기 설비나 한국전력 같은 공기업 가고 싶어,B,7,348:0
,소방 설비나 건물 방재 관리 쪽으로 취업하고 싶어,C,3,356:0
,공간 디자인이나 인테리어 쪽으로 가고 싶어,C,2,634:0
,공연 기획이나 엔터테인먼트 산업 쪽 일할래,C,1,67:0
,직업상담사나 HR(인사) 쪽으로 가고 싶어,C,1,33:0
,반도체 공정 설계 쪽으로 취업하고 싶어,C,1,288:0
